Sample_Number,Hit_Count,Sample_ID,Study_ID,Longitude,Latitude,Geographic_Location
ERR1857185,0,ERS1572693,MGYS00001566,,,Netherlands
ERR1857186,0,ERS1572694,MGYS00001566,,,Netherlands
ERR1857187,0,ERS1572695,MGYS00001566,,,Netherlands
ERR1857188,0,ERS1572696,MGYS00001566,,,Netherlands
ERR1857190,0,ERS1572698,MGYS00001566,,,Netherlands
ERR1857191,0,ERS1572699,MGYS00001566,,,Netherlands
ERR1857192,0,ERS1572700,MGYS00001566,,,Netherlands
ERR1857193,0,ERS1572701,MGYS00001566,,,Netherlands
ERR1857194,0,ERS1572702,MGYS00001566,,,Netherlands
ERR1857195,0,ERS1572703,MGYS00001566,,,Netherlands
ERR1857196,0,ERS1572704,MGYS00001566,,,Netherlands
ERR1857197,0,ERS1572705,MGYS00001566,,,Netherlands
ERR1857198,0,ERS1572706,MGYS00001566,,,Netherlands
ERR1857199,0,ERS1572707,MGYS00001566,,,Netherlands
ERR1857201,0,ERS1572709,MGYS00001566,,,Netherlands
ERR1857202,0,ERS1572710,MGYS00001566,,,Netherlands
ERR1857203,0,ERS1572711,MGYS00001566,,,Netherlands
ERR1857204,0,ERS1572712,MGYS00001566,,,Netherlands
ERR1857205,0,ERS1572713,MGYS00001566,,,Netherlands
ERR1857207,0,ERS1572715,MGYS00001566,,,Netherlands
ERR1857208,0,ERS1572716,MGYS00001566,,,Netherlands
ERR1857209,0,ERS1572717,MGYS00001566,,,Netherlands
ERR1857210,0,ERS1572718,MGYS00001566,,,Netherlands
ERR1857211,0,ERS1572719,MGYS00001566,,,Netherlands
ERR1857212,0,ERS1572720,MGYS00001566,,,Netherlands
ERR1857214,0,ERS1572722,MGYS00001566,,,Netherlands
ERR1857215,0,ERS1572723,MGYS00001566,,,Netherlands
ERR1857216,0,ERS1572724,MGYS00001566,,,Netherlands
ERR2041951,0,ERS1833119,MGYS00001903,2.1795,48.698,France
ERR2543095,1,ERS2446345,MGYS00005046,8.5592,40.7266,Italy
ERR2543096,1,ERS2446346,MGYS00005046,8.5592,40.7266,Italy
ERR2586215,5,ERS2488841,MGYS00002383,16.0823,45.7897,Croatia
ERR2586215,5,ERS2488841,MGYS00002383,16.0823,45.7897,Croatia
ERR2586215,7,ERS2488841,MGYS00002383,16.0823,45.7897,Croatia
ERR2586216,6,ERS2488842,MGYS00002383,16.0823,45.7897,Croatia
ERR2586216,9,ERS2488842,MGYS00002383,16.0823,45.7897,Croatia
ERR2586217,11,ERS2488843,MGYS00002383,16.0823,45.7897,Croatia
ERR2586217,6,ERS2488843,MGYS00002383,16.0823,45.7897,Croatia
ERR2586217,10,ERS2488843,MGYS00002383,16.0823,45.7897,Croatia
ERR2586217,1,ERS2488843,MGYS00002383,16.0823,45.7897,Croatia
ERR2586218,2,ERS2488844,MGYS00002383,16.0823,45.7897,Croatia
ERR2586218,0,ERS2488844,MGYS00002383,16.0823,45.7897,Croatia
ERR2586218,1,ERS2488844,MGYS00002383,16.0823,45.7897,Croatia
ERR2586219,0,ERS2488845,MGYS00002383,16.0823,45.7897,Croatia
ERR2586219,1,ERS2488845,MGYS00002383,16.0823,45.7897,Croatia
ERR2586219,1,ERS2488845,MGYS00002383,16.0823,45.7897,Croatia
ERR2586220,1,ERS2488846,MGYS00002383,16.0823,45.7897,Croatia
ERR2586220,0,ERS2488846,MGYS00002383,16.0823,45.7897,Croatia
ERR2592244,4,ERS1426778,MGYS00001312,9.818,41.327,Albania
ERR2592244,6,ERS1426778,MGYS00001312,9.818,41.327,Albania
ERR2592245,4,ERS1426779,MGYS00001312,149.095,35.345,Australia
ERR2592246,10,ERS1426781,MGYS00001312,16.373,48.208,Austria
ERR2592246,3,ERS1426781,MGYS00001312,16.373,48.208,Austria
ERR2592247,7,ERS1426782,MGYS00001312,23.321,42.697,Bulgaria
ERR2592247,0,ERS1426782,MGYS00001312,23.321,42.697,Bulgaria
ERR2592248,18,ERS1426783,MGYS00001312,48.49,1.455,Brazil
ERR2592249,7,ERS1426785,MGYS00001312,27.114,22.551,Botswana
ERR2592249,2,ERS1426785,MGYS00001312,27.114,22.551,Botswana
ERR2592250,6,ERS1426788,MGYS00001312,79.383,43.653,Canada
ERR2592250,6,ERS1426788,MGYS00001312,79.383,43.653,Canada
ERR2592250,5,ERS1426788,MGYS00001312,79.383,43.653,Canada
ERR2592250,4,ERS1426788,MGYS00001312,79.383,43.653,Canada
ERR2592251,7,ERS1426790,MGYS00001312,7.447,46.948,Switzerland
ERR2592252,13,ERS1426792,MGYS00001312,4.008,5.36,Cote d'Ivoire
ERR2592252,7,ERS1426792,MGYS00001312,4.008,5.36,Cote d'Ivoire
ERR2592253,12,ERS1426794,MGYS00001312,16.606,49.195,Czech Republic
ERR2592254,2,ERS1426795,MGYS00001312,13.405,52.52,Germany
ERR2592255,6,ERS1426803,MGYS00001312,24.938,60.169,Finland
ERR2592255,3,ERS1426803,MGYS00001312,24.938,60.169,Finland
ERR2592256,1,ERS1426804,MGYS00001312,44.827,41.715,Georgia
ERR2592256,0,ERS1426804,MGYS00001312,44.827,41.715,Georgia
ERR2592257,1,ERS1426807,MGYS00001312,15.981,45.815,Croatia
ERR2592258,4,ERS1426809,MGYS00001312,76.267,9.931,India
ERR2592258,4,ERS1426809,MGYS00001312,76.267,9.931,India
ERR2592259,6,ERS1426811,MGYS00001312,51.389,35.689,Iran
ERR2592259,4,ERS1426811,MGYS00001312,51.389,35.689,Iran
ERR2592260,1,ERS1426812,MGYS00001312,21.817,64.126,Iceland
ERR2592261,1,ERS1426816,MGYS00001312,36.821,1.292,Kenya
ERR2592262,1,ERS1426820,MGYS00001312,24.105,56.949,Latvia
ERR2592263,2,ERS1426822,MGYS00001312,21.428,41.997,Macedonia
ERR2592263,2,ERS1426822,MGYS00001312,21.428,41.997,Macedonia
ERR2592264,3,ERS1426824,MGYS00001312,100.507,5.728,Malaysia
ERR2592265,8,ERS1426825,MGYS00001312,3.947,7.377,Nigeria
ERR2592266,0,ERS1426826,MGYS00001312,5.21,52.136,Netherlands
ERR2592266,7,ERS1426826,MGYS00001312,5.21,52.136,Netherlands
ERR2592266,0,ERS1426826,MGYS00001312,5.21,52.136,Netherlands
ERR2592267,6,ERS1426827,MGYS00001312,10.752,59.913,Norway
ERR2592268,4,ERS1426830,MGYS00001312,21.969,51.416,Poland
ERR2592268,2,ERS1426830,MGYS00001312,21.969,51.416,Poland
ERR2592269,6,ERS1426834,MGYS00001312,103.819,1.352,Singapore
ERR2592269,1,ERS1426834,MGYS00001312,103.819,1.352,Singapore
ERR2592270,1,ERS1426835,MGYS00001312,20.448,44.786,Serbia
ERR2592271,1,ERS1426837,MGYS00001312,14.505,46.056,Slovenia
ERR2592272,0,ERS1426840,MGYS00001312,15.055,12.134,Chad
ERR2592273,2,ERS1426842,MGYS00001312,32.859,39.933,Turkey
ERR2592274,12,ERS1426845,MGYS00001312,122.332,47.606,USA
ERR1823511,0,ERS1545892,MGYS00001453,4.7,50.9,Belgium
ERR1857189,0,ERS1572697,MGYS00001566,,,Netherlands
ERR1857200,0,ERS1572708,MGYS00001566,,,Netherlands
ERR1857213,0,ERS1572721,MGYS00001566,,,Netherlands
ERR2586216,7,ERS2488842,MGYS00002383,16.0823,45.7897,Croatia
ERR2586220,1,ERS2488846,MGYS00002383,16.0823,45.7897,Croatia
ERR2592248,2,ERS1426783,MGYS00001312,48.49,1.455,Brazil
ERR2592253,9,ERS1426794,MGYS00001312,16.606,49.195,Czech Republic
ERR2592260,1,ERS1426812,MGYS00001312,21.817,64.126,Iceland
ERR2592267,2,ERS1426827,MGYS00001312,10.752,59.913,Norway
ERR2592275,7,ERS1426846,MGYS00001312,87.629,41.878,USA
ERR2592276,14,ERS1426847,MGYS00001312,95.712,37.09,USA
ERR2592277,8,ERS1426848,MGYS00001312,106.485,31.761,USA
ERR2592277,1,ERS1426848,MGYS00001312,106.485,31.761,USA
ERR2592278,17,ERS1426849,MGYS00001312,106.485,31.761,USA
ERR2592278,11,ERS1426849,MGYS00001312,106.485,31.761,USA
ERR2592279,2,ERS1426850,MGYS00001312,106.485,31.761,USA
ERR2592279,1,ERS1426850,MGYS00001312,106.485,31.761,USA
ERR2592280,9,ERS1426851,MGYS00001312,106.485,31.761,USA
ERR2592280,6,ERS1426851,MGYS00001312,106.485,31.761,USA
ERR2592282,7,ERS1426857,MGYS00001312,28.322,15.387,Zambia
ERR2592282,4,ERS1426857,MGYS00001312,28.322,15.387,Zambia
ERR2592283,3,ERS1426858,MGYS00001312,28.217,12.823,Zambia
ERR2592283,5,ERS1426858,MGYS00001312,28.217,12.823,Zambia
ERR2592283,7,ERS1426858,MGYS00001312,28.217,12.823,Zambia
ERR2592283,3,ERS1426858,MGYS00001312,28.217,12.823,Zambia
ERR2592328,4,ERS1426779,MGYS00001312,149.095,35.345,Australia
ERR2592329,5,ERS1426786,MGYS00001312,104.618,50.445,Canada
ERR2592329,3,ERS1426786,MGYS00001312,104.618,50.445,Canada
ERR2592329,1,ERS1426786,MGYS00001312,104.618,50.445,Canada
ERR2592332,5,ERS1426795,MGYS00001312,13.405,52.52,Germany
ERR2592333,46,ERS1426800,MGYS00001312,89.436,0.867,Ecuador
ERR2592334,34,ERS1426801,MGYS00001312,2.173,41.385,Spain
ERR2592334,56,ERS1426801,MGYS00001312,2.173,41.385,Spain
ERR2592335,0,ERS1426807,MGYS00001312,15.981,45.815,Croatia
ERR2592336,0,ERS1426820,MGYS00001312,24.105,56.949,Latvia
ERR2592337,5,ERS1426824,MGYS00001312,100.507,5.728,Malaysia
ERR2592338,2,ERS1426826,MGYS00001312,5.21,52.136,Netherlands
ERR2592338,0,ERS1426826,MGYS00001312,5.21,52.136,Netherlands
ERR2592338,5,ERS1426826,MGYS00001312,5.21,52.136,Netherlands
ERR2592339,0,ERS1426840,MGYS00001312,15.055,12.134,Chad
ERR2592340,7,ERS1426846,MGYS00001312,87.629,41.878,USA
ERR2592341,5,ERS1426850,MGYS00001312,106.485,31.761,USA
ERR2592342,11,ERS1426851,MGYS00001312,106.485,31.761,USA
ERR2592342,0,ERS1426851,MGYS00001312,106.485,31.761,USA
ERR2592343,0,ERS1426858,MGYS00001312,28.217,12.823,Zambia
ERR2592343,1,ERS1426858,MGYS00001312,28.217,12.823,Zambia
ERR2592343,1,ERS1426858,MGYS00001312,28.217,12.823,Zambia
ERR2683114,9,ERS2597319,MGYS00003139,-89.6029,-0.908,Ecuador
ERR2683114,12,ERS2597319,MGYS00003139,-89.6029,-0.908,Ecuador
ERR2683115,5,ERS2597320,MGYS00003139,33.8039,-13.051,Malawi
ERR2683115,1,ERS2597320,MGYS00003139,33.8039,-13.051,Malawi
ERR2683115,9,ERS2597320,MGYS00003139,33.8039,-13.051,Malawi
ERR2683115,1,ERS2597320,MGYS00003139,33.8039,-13.051,Malawi
ERR2683116,3,ERS2597321,MGYS00003139,34.0252,-11.7634,Malawi
ERR2683116,9,ERS2597321,MGYS00003139,34.0252,-11.7634,Malawi
ERR2683117,5,ERS2597322,MGYS00003139,35.5025,-15.4528,Malawi
ERR2683117,21,ERS2597322,MGYS00003139,35.5025,-15.4528,Malawi
ERR2683118,16,ERS2597323,MGYS00003139,35.02,-15.4703,Malawi
ERR2683118,5,ERS2597323,MGYS00003139,35.02,-15.4703,Malawi
ERR2683118,5,ERS2597323,MGYS00003139,35.02,-15.4703,Malawi
ERR2683119,9,ERS2597324,MGYS00003139,-21.8723,64.1558,Iceland
ERR2683119,11,ERS2597324,MGYS00003139,-21.8723,64.1558,Iceland
ERR2683119,0,ERS2597324,MGYS00003139,-21.8723,64.1558,Iceland
ERR2683120,5,ERS2597325,MGYS00003139,21.9518,51.448,Poland
ERR2683120,5,ERS2597325,MGYS00003139,21.9518,51.448,Poland
ERR2683120,9,ERS2597325,MGYS00003139,21.9518,51.448,Poland
ERR2683121,10,ERS2597326,MGYS00003139,4.6739,8.4804,Nigeria
ERR2683121,10,ERS2597326,MGYS00003139,4.6739,8.4804,Nigeria
ERR2683122,2,ERS2597327,MGYS00003139,4.672,8.4807,Nigeria
ERR2683122,0,ERS2597327,MGYS00003139,4.672,8.4807,Nigeria
ERR2683122,2,ERS2597327,MGYS00003139,4.672,8.4807,Nigeria
ERR2683122,2,ERS2597327,MGYS00003139,4.672,8.4807,Nigeria
ERR2683122,0,ERS2597327,MGYS00003139,4.672,8.4807,Nigeria
ERR2683123,6,ERS2597328,MGYS00003139,-5.2751,6.8075,Cote d&apos;Ivoire
ERR2683123,1,ERS2597328,MGYS00003139,-5.2751,6.8075,Cote d&apos;Ivoire
ERR2683123,4,ERS2597328,MGYS00003139,-5.2751,6.8075,Cote d&apos;Ivoire
ERR2683124,1,ERS2597329,MGYS00003139,4.672,8.4808,Nigeria
ERR2683124,3,ERS2597329,MGYS00003139,4.672,8.4808,Nigeria
ERR2683124,5,ERS2597329,MGYS00003139,4.672,8.4808,Nigeria
ERR2683125,96,ERS2597330,MGYS00003139,7.6637,11.1358,Nigeria
ERR2683125,66,ERS2597330,MGYS00003139,7.6637,11.1358,Nigeria
ERR2683125,75,ERS2597330,MGYS00003139,7.6637,11.1358,Nigeria
ERR2683125,40,ERS2597330,MGYS00003139,7.6637,11.1358,Nigeria
ERR2683126,55,ERS2597331,MGYS00003139,7.6586,11.1459,Nigeria
ERR2683126,42,ERS2597331,MGYS00003139,7.6586,11.1459,Nigeria
ERR2683126,43,ERS2597331,MGYS00003139,7.6586,11.1459,Nigeria
ERR2683127,104,ERS2597332,MGYS00003139,7.6587,11.1459,Nigeria
ERR2683127,40,ERS2597332,MGYS00003139,7.6587,11.1459,Nigeria
ERR2683127,70,ERS2597332,MGYS00003139,7.6587,11.1459,Nigeria
ERR2683128,6,ERS2597333,MGYS00003139,3.8966,7.4419,Nigeria
ERR2683128,8,ERS2597333,MGYS00003139,3.8966,7.4419,Nigeria
ERR2683128,11,ERS2597333,MGYS00003139,3.8966,7.4419,Nigeria
ERR2683129,6,ERS2597334,MGYS00003139,3.8966,7.4419,Nigeria
ERR2683130,5,ERS2597335,MGYS00003139,-86.2236,12.1639,Nicaragua
ERR2683130,4,ERS2597335,MGYS00003139,-86.2236,12.1639,Nicaragua
ERR2683130,1,ERS2597335,MGYS00003139,-86.2236,12.1639,Nicaragua
ERR2683130,4,ERS2597335,MGYS00003139,-86.2236,12.1639,Nicaragua
ERR2683130,3,ERS2597335,MGYS00003139,-86.2236,12.1639,Nicaragua
ERR2683131,7,ERS2597336,MGYS00003139,-85.94,12.9147,Nicaragua
ERR2683131,24,ERS2597336,MGYS00003139,-85.94,12.9147,Nicaragua
ERR2683131,1,ERS2597336,MGYS00003139,-85.94,12.9147,Nicaragua
ERR2683132,0,ERS2597337,MGYS00003139,-85.9328,11.9136,Nicaragua
ERR2683132,3,ERS2597337,MGYS00003139,-85.9328,11.9136,Nicaragua
ERR2683132,0,ERS2597337,MGYS00003139,-85.9328,11.9136,Nicaragua
ERR2683132,4,ERS2597337,MGYS00003139,-85.9328,11.9136,Nicaragua
ERR2683132,0,ERS2597337,MGYS00003139,-85.9328,11.9136,Nicaragua
ERR2683133,10,ERS2597338,MGYS00003139,-86.1056,11.9842,Nicaragua
ERR2683133,12,ERS2597338,MGYS00003139,-86.1056,11.9842,Nicaragua
ERR2683133,18,ERS2597338,MGYS00003139,-86.1056,11.9842,Nicaragua
ERR2683134,7,ERS2597339,MGYS00003139,101.7111,3.1831,Malaysia
ERR2683134,4,ERS2597339,MGYS00003139,101.7111,3.1831,Malaysia
ERR2683134,7,ERS2597339,MGYS00003139,101.7111,3.1831,Malaysia
ERR2683134,5,ERS2597339,MGYS00003139,101.7111,3.1831,Malaysia
ERR2683135,12,ERS2597340,MGYS00003139,37.427,-3.3745,Tanzania
ERR2683135,15,ERS2597340,MGYS00003139,37.427,-3.3745,Tanzania
ERR2683135,3,ERS2597340,MGYS00003139,37.427,-3.3745,Tanzania
ERR2683136,5,ERS2597341,MGYS00003139,26.7372,58.34,Estonia
ERR2683136,9,ERS2597341,MGYS00003139,26.7372,58.34,Estonia
ERR2683136,5,ERS2597341,MGYS00003139,26.7372,58.34,Estonia
ERR2592281,4,ERS1426856,MGYS00001312,28.047,26.204,South Africa
ERR2592331,1,ERS1426790,MGYS00001312,7.447,46.948,Switzerland
ERR2592338,1,ERS1426826,MGYS00001312,5.21,52.136,Netherlands
ERR2683114,28,ERS2597319,MGYS00003139,-89.6029,-0.908,Ecuador
ERR2683118,19,ERS2597323,MGYS00003139,35.02,-15.4703,Malawi
ERR2683122,1,ERS2597327,MGYS00003139,4.672,8.4807,Nigeria
ERR2683124,1,ERS2597329,MGYS00003139,4.672,8.4808,Nigeria
ERR2683127,10,ERS2597332,MGYS00003139,7.6587,11.1459,Nigeria
ERR2683131,13,ERS2597336,MGYS00003139,-85.94,12.9147,Nicaragua
ERR2683133,5,ERS2597338,MGYS00003139,-86.1056,11.9842,Nicaragua
ERR2683137,8,ERS2597342,MGYS00003139,24.7022,59.466,Estonia
ERR2683137,17,ERS2597342,MGYS00003139,24.7022,59.466,Estonia
ERR2683138,12,ERS2597343,MGYS00003139,24.4537,58.3871,Estonia
ERR2683138,0,ERS2597343,MGYS00003139,24.4537,58.3871,Estonia
ERR2683139,9,ERS2597344,MGYS00003139,28.1829,59.3598,Estonia
ERR2683139,6,ERS2597344,MGYS00003139,28.1829,59.3598,Estonia
ERR2683139,11,ERS2597344,MGYS00003139,28.1829,59.3598,Estonia
ERR2683140,2,ERS2597345,MGYS00003139,100.6106,14.0697,Thailand
ERR2683140,0,ERS2597345,MGYS00003139,100.6106,14.0697,Thailand
ERR2683140,4,ERS2597345,MGYS00003139,100.6106,14.0697,Thailand
ERR2683141,18,ERS2597346,MGYS00003139,42.6758,42.2393,Georgia
ERR2683141,10,ERS2597346,MGYS00003139,42.6758,42.2393,Georgia
ERR2683141,16,ERS2597346,MGYS00003139,42.6758,42.2393,Georgia
ERR2683141,0,ERS2597346,MGYS00003139,42.6758,42.2393,Georgia
ERR2683142,5,ERS2597347,MGYS00003139,16.0791,45.7877,Croatia
ERR2683142,1,ERS2597347,MGYS00003139,16.0791,45.7877,Croatia
ERR2683142,6,ERS2597347,MGYS00003139,16.0791,45.7877,Croatia
ERR2683143,4,ERS2597348,MGYS00003139,28.1779,-25.7344,South Africa
ERR2683143,4,ERS2597348,MGYS00003139,28.1779,-25.7344,South Africa
ERR2683143,6,ERS2597348,MGYS00003139,28.1779,-25.7344,South Africa
ERR2683144,6,ERS2597349,MGYS00003139,6.13,49.651,Luxembourg
ERR2683144,5,ERS2597349,MGYS00003139,6.13,49.651,Luxembourg
ERR2683144,5,ERS2597349,MGYS00003139,6.13,49.651,Luxembourg
ERR2683145,5,ERS2597350,MGYS00003139,101.4342,3.0047,Malaysia
ERR2683145,3,ERS2597350,MGYS00003139,101.4342,3.0047,Malaysia
ERR2683145,1,ERS2597350,MGYS00003139,101.4342,3.0047,Malaysia
ERR2683146,8,ERS2597351,MGYS00003139,12.4281,41.8193,Italy
ERR2683146,5,ERS2597351,MGYS00003139,12.4281,41.8193,Italy
ERR2683146,6,ERS2597351,MGYS00003139,12.4281,41.8193,Italy
ERR2683146,17,ERS2597351,MGYS00003139,12.4281,41.8193,Italy
ERR2683146,0,ERS2597351,MGYS00003139,12.4281,41.8193,Italy
ERR2683147,26,ERS2597352,MGYS00003139,126.8355,35.1559,South Korea
ERR2683147,15,ERS2597352,MGYS00003139,126.8355,35.1559,South Korea
ERR2683147,34,ERS2597352,MGYS00003139,126.8355,35.1559,South Korea
ERR2683148,19,ERS2597353,MGYS00003139,22.8333,40.6637,Greece
ERR2683148,6,ERS2597353,MGYS00003139,22.8333,40.6637,Greece
ERR2683148,10,ERS2597353,MGYS00003139,22.8333,40.6637,Greece
ERR2683148,4,ERS2597353,MGYS00003139,22.8333,40.6637,Greece
ERR2683149,20,ERS2597354,MGYS00003139,144.6432,-37.9145,Australia
ERR2683149,11,ERS2597354,MGYS00003139,144.6432,-37.9145,Australia
ERR2683150,13,ERS2597355,MGYS00003139,-8.6291,41.1579,Portugal
ERR2683150,8,ERS2597355,MGYS00003139,-8.6291,41.1579,Portugal
ERR2683150,19,ERS2597355,MGYS00003139,-8.6291,41.1579,Portugal
ERR2683151,5,ERS2597356,MGYS00003139,-3.1449,55.9701,United Kingdom
ERR2683151,2,ERS2597356,MGYS00003139,-3.1449,55.9701,United Kingdom
ERR2683151,6,ERS2597356,MGYS00003139,-3.1449,55.9701,United Kingdom
ERR2683152,42,ERS2597357,MGYS00003139,-104.7558,50.4411,Canada
ERR2683152,30,ERS2597357,MGYS00003139,-104.7558,50.4411,Canada
ERR2683152,30,ERS2597357,MGYS00003139,-104.7558,50.4411,Canada
ERR2683152,7,ERS2597357,MGYS00003139,-104.7558,50.4411,Canada
ERR2683153,7,ERS2597358,MGYS00003139,-122.9506,49.1654,Canada
ERR2683153,5,ERS2597358,MGYS00003139,-122.9506,49.1654,Canada
ERR2683153,2,ERS2597358,MGYS00003139,-122.9506,49.1654,Canada
ERR2683154,17,ERS2597359,MGYS00003139,-114.0246,51.0131,Canada
ERR2683154,5,ERS2597359,MGYS00003139,-114.0246,51.0131,Canada
ERR2683154,13,ERS2597359,MGYS00003139,-114.0246,51.0131,Canada
ERR2683155,65,ERS2597360,MGYS00003139,-75.5853,45.4599,Canada
ERR2683155,46,ERS2597360,MGYS00003139,-75.5853,45.4599,Canada
ERR2683155,43,ERS2597360,MGYS00003139,-75.5853,45.4599,Canada
ERR2683155,25,ERS2597360,MGYS00003139,-75.5853,45.4599,Canada
ERR2683156,9,ERS2597361,MGYS00003139,11.4845,3.8706,Cameroon
ERR2683156,8,ERS2597361,MGYS00003139,11.4845,3.8706,Cameroon
ERR2683157,7,ERS2597362,MGYS00003139,23.3665,42.7509,Bulgaria
ERR2683157,8,ERS2597362,MGYS00003139,23.3665,42.7509,Bulgaria
ERR2683157,5,ERS2597362,MGYS00003139,23.3665,42.7509,Bulgaria
ERR2683157,3,ERS2597362,MGYS00003139,23.3665,42.7509,Bulgaria
ERR2683158,7,ERS2597363,MGYS00003139,-1.4796,54.9901,United Kingdom
ERR2683158,4,ERS2597363,MGYS00003139,-1.4796,54.9901,United Kingdom
ERR2683158,5,ERS2597363,MGYS00003139,-1.4796,54.9901,United Kingdom
ERR2683158,2,ERS2597363,MGYS00003139,-1.4796,54.9901,United Kingdom
ERR2683159,6,ERS2597364,MGYS00003139,-79.4806,43.6313,Canada
ERR2683159,3,ERS2597364,MGYS00003139,-79.4806,43.6313,Canada
ERR2683160,6,ERS2597365,MGYS00003139,32.6061,0.3193,Uganda
ERR2683160,7,ERS2597365,MGYS00003139,32.6061,0.3193,Uganda
ERR2683160,5,ERS2597365,MGYS00003139,32.6061,0.3193,Uganda
ERR2683161,11,ERS2597366,MGYS00003139,74.7427,13.3576,India
ERR2683161,9,ERS2597366,MGYS00003139,74.7427,13.3576,India
ERR2683161,9,ERS2597366,MGYS00003139,74.7427,13.3576,India
ERR2683161,0,ERS2597366,MGYS00003139,74.7427,13.3576,India
ERR2683162,5,ERS2597367,MGYS00003139,10.4994,59.7934,Norway
ERR2683162,2,ERS2597367,MGYS00003139,10.4994,59.7934,Norway
ERR2683163,6,ERS2597368,MGYS00003139,67.0751,24.8537,Pakistan
ERR2683163,6,ERS2597368,MGYS00003139,67.0751,24.8537,Pakistan
ERR2683163,9,ERS2597368,MGYS00003139,67.0751,24.8537,Pakistan
ERR2683164,3,ERS2597369,MGYS00003139,68.3633,25.3746,Pakistan
ERR2683164,4,ERS2597369,MGYS00003139,68.3633,25.3746,Pakistan
ERR2683164,1,ERS2597369,MGYS00003139,68.3633,25.3746,Pakistan
ERR2683164,1,ERS2597369,MGYS00003139,68.3633,25.3746,Pakistan
ERR2683165,3,ERS2597370,MGYS00003139,-1.4807,12.4272,Burkina Faso
ERR2683165,0,ERS2597370,MGYS00003139,-1.4807,12.4272,Burkina Faso
ERR2683166,0,ERS2597371,MGYS00003139,-4.2758,11.2055,Burkina Faso
ERR2683166,2,ERS2597371,MGYS00003139,-4.2758,11.2055,Burkina Faso
ERR2683166,5,ERS2597371,MGYS00003139,-4.2758,11.2055,Burkina Faso
ERR2683167,23,ERS2597372,MGYS00003139,114.2125,22.4039,Hong Kong
ERR2683167,15,ERS2597372,MGYS00003139,114.2125,22.4039,Hong Kong
ERR2683167,4,ERS2597372,MGYS00003139,114.2125,22.4039,Hong Kong
ERR2683167,13,ERS2597372,MGYS00003139,114.2125,22.4039,Hong Kong
ERR2683168,7,ERS2597373,MGYS00003139,103.8198,1.3521,Singapore
ERR2683168,7,ERS2597373,MGYS00003139,103.8198,1.3521,Singapore
ERR2683168,11,ERS2597373,MGYS00003139,103.8198,1.3521,Singapore
ERR2683169,2,ERS2597374,MGYS00003139,-57.6334,-25.276,Paraguay
ERR2683169,2,ERS2597374,MGYS00003139,-57.6334,-25.276,Paraguay
ERR2683169,0,ERS2597374,MGYS00003139,-57.6334,-25.276,Paraguay
ERR2683170,5,ERS2597375,MGYS00003139,85.3001,27.7008,Nepal
ERR2683170,2,ERS2597375,MGYS00003139,85.3001,27.7008,Nepal
ERR2683170,2,ERS2597375,MGYS00003139,85.3001,27.7008,Nepal
ERR2683171,10,ERS2597376,MGYS00003139,104.9026,11.5226,Cambodia
ERR2683171,13,ERS2597376,MGYS00003139,104.9026,11.5226,Cambodia
ERR2683171,6,ERS2597376,MGYS00003139,104.9026,11.5226,Cambodia
ERR2683171,3,ERS2597376,MGYS00003139,104.9026,11.5226,Cambodia
ERR2683140,0,ERS2597345,MGYS00003139,100.6106,14.0697,Thailand
ERR2683143,5,ERS2597348,MGYS00003139,28.1779,-25.7344,South Africa
ERR2683146,2,ERS2597351,MGYS00003139,12.4281,41.8193,Italy
ERR2683149,11,ERS2597354,MGYS00003139,144.6432,-37.9145,Australia
ERR2683153,21,ERS2597358,MGYS00003139,-122.9506,49.1654,Canada
ERR2683156,14,ERS2597361,MGYS00003139,11.4845,3.8706,Cameroon
ERR2683159,5,ERS2597364,MGYS00003139,-79.4806,43.6313,Canada
ERR2683162,7,ERS2597367,MGYS00003139,10.4994,59.7934,Norway
ERR2683165,4,ERS2597370,MGYS00003139,-1.4807,12.4272,Burkina Faso
ERR2683169,4,ERS2597374,MGYS00003139,-57.6334,-25.276,Paraguay
ERR2683172,9,ERS2597377,MGYS00003139,-90.5594,14.5786,Guatemala
ERR2683172,5,ERS2597377,MGYS00003139,-90.5594,14.5786,Guatemala
ERR2683173,7,ERS2597378,MGYS00003139,25.2212,54.7097,Lithuania
ERR2683173,6,ERS2597378,MGYS00003139,25.2212,54.7097,Lithuania
ERR2683173,6,ERS2597378,MGYS00003139,25.2212,54.7097,Lithuania
ERR2683174,14,ERS2597379,MGYS00003139,37.0118,-1.2561,Kenya
ERR2683174,11,ERS2597379,MGYS00003139,37.0118,-1.2561,Kenya
ERR2683174,3,ERS2597379,MGYS00003139,37.0118,-1.2561,Kenya
ERR2683175,7,ERS2597380,MGYS00003139,76.8889,43.4039,Kazakhstan
ERR2683175,15,ERS2597380,MGYS00003139,76.8889,43.4039,Kazakhstan
ERR2683176,28,ERS2597381,MGYS00003139,,,USA
ERR2683176,9,ERS2597381,MGYS00003139,,,USA
ERR2683176,26,ERS2597381,MGYS00003139,,,USA
ERR2683176,0,ERS2597381,MGYS00003139,,,USA
ERR2683177,0,ERS2597382,MGYS00003139,21.4758,41.9906,Macedonia
ERR2683177,1,ERS2597382,MGYS00003139,21.4758,41.9906,Macedonia
ERR2683178,5,ERS2597383,MGYS00003139,105.8658,20.9756,Viet Nam
ERR2683178,5,ERS2597383,MGYS00003139,105.8658,20.9756,Viet Nam
ERR2683178,3,ERS2597383,MGYS00003139,105.8658,20.9756,Viet Nam
